Title,Company,Location,Salary,Job Type,Description,Date Posted,Latitude,Longitude
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30.0,47.5255933,-52.8724145
Assistant Manager,Kent Building Supplies,"St. John's, NL",,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4.0,47.5614705,-52.7126162
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4.0,53.8217327,-61.2295532
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4.0,53.8217327,-61.2295532
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4.0,53.8217327,-61.2295532
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4.0,53.8217327,-61.2295532
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Experience: 5 years or more.   ",4.0,47.5614705,-52.7126162
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",,Full-time,This position will also provide advisory services for parish-affiliated community holding companies. The successful candidate is an individual who is an…  ,30.0,47.5614705,-52.7126162
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Job Title: Regional Settlement Coordinator.   ",4.0,53.2964352,-60.3111895
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15.0,53.2964352,-60.3111895
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Education: Secondary (high) school graduation certificate. Hire and train or arrange for training of cleaning staff. Experience: 1 year to less than 2 years.  ,1.0,49.1830366,-57.4320002
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",6.0,47.5614705,-52.7126162
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30.0,47.5255933,-52.8724145
