Title,Company,Location,Salary,Job Type,Description,Date Posted
Exploration Geophysicist,Canada-Newfoundland and Labrador Offshore...,"St. John's, NL",N/A,Full-time,Applicants should have at least five years' experience in the petroleum industry and must possess a minimum of a Bachelor's degree in Geology or Geophysics.  ,2
Sales Associate-Avalon Mall Annex,The Children's Place,"St. John's, NL",N/A,Part-time,Signale rapidement à l'équipe de direction les besoins en matière de maintenance et de matériel pour offrir aux clients et associés un environnement propre et…   ,30
"Health, Safety, and Environment Advisor (Rotational - Labrador)",Locke's Electrical Limited,"Labrador City, NL",80.0,Full-time,"· Bachelor’s degree or college diploma in occupational health and safety, or a related bachelor’s degree with significant professional development in…  ",4
"attendant, funeral home",Carnell's Funeral Home Ltd,"St. John's, NL",18.0,"Part-time
+1","Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. Assist clients/guests with special needs.  ",11
Early Childhood Educator and Assistant,Donna Daycare Centre Inc,"Mount Pearl, NL",15.0,Full-time,"Support early childhood educators in carrying out programs that promote the physical, cognitive, emotional and social development of children,.  ",1
Cashier/Food Counter Attendant,Menchie's Frozen Yogurt,"Mount Pearl, NL",15.0,"Full-time
+1",May receive payment for food items purchased. Menchies Frozen Yogurt in St John's and Mt Pearl is looking to hire a permanent full-time or Part time Food…  ,8
urban snow removal equipment operator - public works,EL J Holding Inc.,"St. John's, NL",23.0,"Full-time
+1","Education: No degree, certificate or diploma. Certificates, licences, memberships, and courses. Class 5/5F/G Licence (cars, small trucks and other 2-axle…  ",15
Heavy Equipment Operator,City of St. John's,"St. John's, NL",30.03,"Full-time
+1","The City of St. John’s is committed to recruiting world-class talent and expertise to join our City staff, more than 1200 strong, who provide a vast array of…   ",30
"Maintenance Technician, Mechanical",Suncor Energy,"St. John's, NL",N/A,Full-time,"Suncor's operations include oil sands development, production and upgrading; offshore oil and gas; petroleum refining in Canada and the U.S.; and the company's…  ",9
kitchen helper,Awesome Enterprises Ltd,"Mount Pearl, NL",15.0,"Full-time
+1","Education: No degree, certificate or diploma. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",21
Volunteer Coordinator,The Gathering Place,"St. John's, NL",N/A,Full-time,"As a non-profit, community health centre, The Gathering Place provides integrated health and social services to individuals who are homeless or precariously…   ",29
Roustabout,Puglisevich Canada,"St. John's, NL",N/A,,"We encourage applications from Indigenous peoples, visible minorities, women, and persons with disabilities having the capability, qualifications, and…   ",20
Warehouse Associate,Newterm Logistics,"St. John's, NL",18.0,Full-time,You will be required to provide a certificate of conduct and a copy of all current training certificates. Handle and sort incoming merchandise.   ,2
EMT Trainee,Nasittuq Corporation,"Goose Bay, NL",N/A,Permanent,Two-year electronic technician program from a recognized and accredited institution or Canadian military equivalent. WE ENCOURAGE APPLICANTS TO SELF-IDENTIFY.   ,30
Retail Sales Associate,Gap,"St. John's, NL",N/A,Part-time,Acknowledge and assist customers; locate merchandise efficiently using various methods; answer questions quickly and accurately. Virtual health care 24/7*.   ,23
Day Staff Crew Member,McDonald's,"St. John's, NL",N/A,Part-time,"Did you know that from coast to coast, we serve delicious choices to more than 2.5 million people in over 1,400 locations every day, or that we have proudly…   ",30
Medical Office Assistant / Ophthalmic Assistant,Avalon Medical Specialists PMC Inc.,"St. John's, NL",37.0,"Full-time
+1",Now hiring for a full-time medical office assistant/technician for an ophthalmology clinic in St. John’s. Priority will be given to candidates with relevant…  ,4
Stores Clerk,PAL Technical Services,"St. John's, NL",N/A,Full-time,Provide inventory control of aircraft parts. Entering parts data into company's maintenance tracking system. Control quarantine stores as per company's MCM.   ,26
Records and Information Management Officer,City Of Mount Pearl,"Mount Pearl, NL",61.0,Full-time,"The ideal candidate for this position has progressive experience in information management with proven experience in planning, organizing and monitoring project…   ",7
fruit and vegetable machine operator,Pride Pak Canada,"Paradise, NL",20.85,Full-time,Fruit and vegetable processing plant. Set up and adjust processing and packaging machines. Inform supervisor of mechanical malfunctions or product…   ,2
Shop Helper,Capital Subaru,"St. John's, NL",16.0,"Full-time
+1","Ensures safety policies, standards, and procedures are followed to achieve a safe work environment and safety for all staff, customers, and vendors.  ",4
Legal Assistant (Permanent) - St. John's Primary Conflict Office,Newfoundland and Labrador Legal Aid Commission,"St. John's, NL",N/A,Full-time,Legal Aid NL is an innovative legal aid plan that responds to the needs of low income persons by promoting access to justice through the provision of quality…   ,9
delivery driver,Pik-Fast Express Inc.,"Mount Pearl, NL",1.0,Full-time,"Education: No degree, certificate or diploma. Pay and receive payments for goods. Use maps and other trip planning aids. Up to 9 kg (20 lbs).  ",9
driver helper,Around The Bay Disposal Inc.,"Carbonear, NL",16.0,"Full-time
+1","Education: No degree, certificate or diploma. Driver's validity licence check. Assist trucks and delivery drivers to load and unload vehicles.   ",1
food counter attendant,FB Burrito Partnership,"St. John's, NL",15.5,"Full-time
+1","Serve customers at counters or buffet tables. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",21
Canada Job Posts,Borea Construction,Canada,N/A,,Valid Class 5 driver’s license. Nous cherchons les personnes les plus brillantes et les meilleures qui partagent notre passion pour la construction de parc d…,30
bartender,Spirit of Newfoundland Productions LTD,"St. John's, NL",15.0,"Full-time
+1","Collect cash, credit/debit cards or other payment for beverages. Enforce provincial/territorial liquor legislation and regulations. Organize and set up bar.  ",6
